"doyb","doya","type","count","meana","meanb","maxevi","meang1","meang2","meanDOP","meanDOH","meandoy","meanDSWR","meanTemp","meanLSWi","meanTmax","meanEVI_uncor","predictedDOP","predictedDOH"
296,8,"2016_The90",37,0.076,0.147,0.532,0.456,0.385,109,247,224,216.667297297297,292.765432432432,0.0607567567567568,295.213621621622,0.26275,119.649307061224,253.685255124183
296,16,"2016_TopofRes",37,0.072,0.18,0.633,0.561,0.453,115,250,216,216.667297297297,292.765432432432,0.116108108108108,295.213621621622,0.270388888888889,125.281364348871,259.996928585159
296,8,"2016_Way1",37,0.074,0.158,0.651,0.577,0.493,116,257,208,216.667297297297,292.765432432432,0.133,295.213621621622,0.288944444444444,118.773292520186,252.076889204002
296,8,"2016_Way3",37,0.081,0.141,0.672,0.591,0.531,114,257,216,216.667297297297,292.765432432432,0.0971621621621622,295.213621621622,0.279888888888889,122.372408191881,256.782124084858
296,8,"2016_Way4",37,0.119,0.184,0.671,0.552,0.487,114,257,208,216.667297297297,292.765432432432,0.172243243243243,295.213621621622,0.291638888888889,120.406530966866,253.85080636811
296,8,"2016_Way5",37,0.119,0.184,0.671,0.552,0.487,109,247,208,216.667297297297,292.765432432432,0.172243243243243,295.213621621622,0.291638888888889,120.406530966866,253.85080636811
296,8,"2016_WestBransford",37,0.101,0.225,0.619,0.518,0.394,134,273,216,217.189405405405,292.969486486487,0.206513513513514,295.409351351351,0.312611111111111,128.124603657401,263.087054452674
296,16,"2016_WestHarvey",37,0.095,0.212,0.545,0.45,0.333,152,280,216,217.068594594595,292.803378378378,0.081972972972973,295.225918918919,0.278888888888889,122.380327340592,256.254593909519
296,8,"2016_WestShop40",37,0.11,0.164,0.553,0.443,0.389,109,245,224,216.667297297297,292.765432432432,0.0769459459459459,295.213621621622,0.28225,120.922022293624,255.092261483331
296,64,"2018_Baker20",37,0.012,0.224,0.717,0.705,0.493,110,241,184,209.859054054054,292.502891891892,0.184405405405405,294.920432432432,0.259162162162162,120.207312532117,252.605564341242
296,64,"2018_Baker30",37,0.012,0.224,0.717,0.705,0.493,121,247,184,209.859054054054,292.502891891892,0.184405405405405,294.920432432432,0.259162162162162,120.207312532117,252.605564341242
296,64,"2018_Baker40",74,-0.011,0.215,0.727,0.738,0.512,110,241,188,209.859054054054,292.502891891892,0.255756756756757,294.920432432432,0.247810810810811,123.537573967601,256.808846084266
296,64,"2018_Baker50",37,0.012,0.224,0.717,0.705,0.493,121,247,184,209.859054054054,292.502891891892,0.184405405405405,294.920432432432,0.259162162162162,120.207312532117,252.605564341242
296,56,"2018_BottOfRes",37,-0.007,0.226,0.716,0.723,0.49,121,242,184,209.859054054054,292.502891891892,0.235135135135135,294.920432432432,0.251027027027027,121.552500188272,254.213481531529
296,56,"2018_CarrSouth",37,0.027,0.238,0.652,0.625,0.414,123,254,192,209.243351351351,292.526324324324,0.116162162162162,294.913,0.259972972972973,121.82433878895,254.684792298999
296,56,"2018_EastBransford",37,0.006,0.21,0.694,0.688,0.484,130,274,208,210.117540540541,292.696027027027,0.240432432432432,295.110378378378,0.274945945945946,131.895083600484,267.515727454418
296,48,"2018_Haley",37,0.051,0.328,0.528,0.477,0.2,131,265,168,209.243351351351,292.526324324324,0.188594594594595,294.913,0.345297297297297,109.283749929565,238.170747448116
296,64,"2018_Hole40",37,0.037,0.188,0.624,0.587,0.436,109,240,192,209.859054054054,292.502891891892,0.179648648648649,294.920432432432,0.249378378378378,113.41445760258,244.916015435895
296,56,"2018_HQShop",37,0.059,0.243,0.631,0.572,0.388,102,234,192,209.859054054054,292.502891891892,0.14172972972973,294.920432432432,0.269108108108108,119.18842103294,251.466582887291
296,56,"2018_Judys",37,0.059,0.225,0.497,0.438,0.272,130,279,240,209.859054054054,292.502891891892,0.125054054054054,294.920432432432,0.288972972972973,137.65940644723,275.293633293538
296,56,"2018_Kelly1",37,-0.007,0.226,0.716,0.723,0.49,122,263,184,209.243351351351,292.526324324324,0.235135135135135,294.913,0.251027027027027,121.552500188272,254.213481531529
296,56,"2018_Kelly10",37,0.01,0.28,0.637,0.627,0.357,124,277,208,210.117540540541,292.696027027027,0.241567567567568,295.110378378378,0.267324324324324,136.678377633151,272.757526566395
296,64,"2018_Kelly2",37,-0.002,0.205,0.63,0.632,0.425,123,262,208,209.243351351351,292.526324324324,0.216351351351351,294.913,0.241972972972973,127.858770012542,262.683505639295
296,56,"2018_Kelly3",74,-0.014,0.246,0.686,0.7,0.44,122,263,188,209.243351351351,292.526324324324,0.229351351351351,294.913,0.252756756756757,124.983419922107,258.318840525411
296,64,"2018_Kelly4",37,-0.002,0.202,0.713,0.715,0.511,123,261,192,209.243351351351,292.526324324324,0.242891891891892,294.913,0.266621621621622,122.953197458857,256.319150102343
296,56,"2018_Kelly5",74,-0.014,0.246,0.686,0.7,0.44,123,264,188,209.243351351351,292.526324324324,0.229351351351351,294.913,0.252756756756757,124.983419922107,258.318840525411
296,56,"2018_Kelly6",37,-0.015,0.215,0.687,0.702,0.472,124,264,192,210.775405405405,292.639351351351,0.230135135135135,295.092297297297,0.252108108108108,123.739210116399,257.169180100788
296,64,"2018_Kelly7",37,-0.019,0.253,0.707,0.726,0.454,124,261,192,210.117540540541,292.696027027027,0.264432432432432,295.110378378378,0.260324324324324,129.831999735852,264.23302754072
296,64,"2018_Kelly8",37,-0.005,0.198,0.708,0.713,0.51,124,278,192,210.117540540541,292.696027027027,0.237108108108108,295.110378378378,0.248540540540541,122.344068620807,255.614459407203
296,56,"2018_Kelly9",37,0.019,0.251,0.716,0.697,0.465,124,279,192,210.117540540541,292.696027027027,0.274054054054054,295.110378378378,0.275891891891892,127.813467632142,261.812681511027
296,48,"2018_Mid40Hwy",37,0.037,0.205,0.654,0.617,0.449,111,243,184,209.859054054054,292.502891891892,0.142972972972973,294.920432432432,0.255594594594595,112.508719721104,243.46049591266
296,56,"2018_MidBransford",37,0.006,0.21,0.694,0.688,0.484,130,272,208,210.117540540541,292.696027027027,0.240432432432432,295.110378378378,0.274945945945946,131.895083600484,267.515727454418
296,56,"2018_Morris",37,0.058,0.288,0.587,0.529,0.299,131,265,208,209.243351351351,292.526324324324,0.201945945945946,294.913,0.295891891891892,131.65289588647,266.633476900375
296,48,"2018_NewGround",37,0.011,0.268,0.631,0.62,0.363,121,260,200,209.859054054054,292.502891891892,0.201486486486486,294.920432432432,0.246432432432432,129.979160214905,264.531213240968
296,48,"2018_Pops",37,0.014,0.218,0.565,0.551,0.347,130,254,192,209.243351351351,292.526324324324,0.128135135135135,294.913,0.199459459459459,114.861054176564,246.434480121302
296,48,"2018_SeedRice",37,0.045,0.242,0.643,0.598,0.401,135,255,208,209.243351351351,292.526324324324,0.196243243243243,294.913,0.267594594594595,130.279522355718,265.32439329037
